title,content,url,published,scraped_at
"FSSAI Mandates Closure Reports for Expired Food Safety Licences, ET HospitalityWorld","Food and Beverages

1 min read

FSSAI makes closure report of food safety licences mandatory for FBOs

The order in this direction by the food safety authority of the country says that the closure report has been made mandatory to maintain transparency and traceability in the licensing framework.",https://hospitality.economictimes.indiatimes.com/news/operations/food-and-beverages/fssai-mandates-closure-reports-for-expired-food-safety-licences/121343569,Unknown,2025-06-20 22:41:17
FSSAI does a U-turn on its role in monitoring violations of baby food law,"Representative Image

Four and a half years after issuing an advisory asking food safety officers in states and union territories to monitor violations of the Infant Milk Substitutes (IMS) Act which regulates promotion and marketing of baby foods, the Food Safety and Standards Authority of India ( FSSAI ) has done an about turn stating that the IMS Act did not come under its purview.FSSAI stated this in response to an RTI query filed in March 2025 asking for details of any action taken for monitoring the IMS Act and for information regarding any training sessions conducted for designated officers and food commissioners. It also sought reports from the monitoring of violations of the Act. FSSAI responded on April 1 stating that the IMS Act did not come under the purview of FSSAI and that it falls in the domain of the ministry of women and child development.In the advisory issued in September 2020, FSSAI stated that Section 100 of the Food Safety and Standards Act of 2006 read with the relevant section of the Infant Milk Substitutes (IMS) Act empowered the designated officer or the food safety officer to make a written complaint before the court to take cognizance of any violation punishable under the IMS Act. The advisory to all central licensing authorities, designated officers of FSSAI and commissioners of food safety of all states and union territories asked them to closely monitor the products and promotional activities of food business operators (FBOs) and any non-profit or association or instate established by the FBOs to determine if they were violating any provisions of the Infant Milk Substitutes (IMS) Act.Section 12 of the IMS Act dealing with powers of entry and search states that “any Food Safety Officer appointed under the Food Safety and Standards Act, 2006 …or any officer not below the rank of a Class I officer authorised in this behalf by the State Government” has the power to enter and search if any provision of the law was contravened. Section 21 of the IMS Act dealing with cognizance of offences states that no court shall take cognizance of any offence punishable under this Act except upon a complaint in writing made by “the Designated Officer or the Food Safety Officer directed under sub-section (5) of section 42 of the Food Safety and Standards Act, 2006…”FSSAI’s response contradicts the explicit provisions of the law, which mandate that food safety officers be empowered as authorized officers to protect infant health, said a statement issued by the Breastfeeding Promotion Network of India (BPNI) adding that this resulted in a bureaucratic void in which violations – such as unchecked sponsorships and promotional activities by infant formula companies were effectively given free rein. In 1995, the union government had notified BPNI to monitor the compliance with the IMS Act. BPNI has been monitoring and reporting on the alleged violations of the baby food law IMS Act that prohibits any form of promotion or advertisements of baby foods for children under two years.Expressing deep concern over the persistent gaps in the enforcement of the IMS Act, the BPNI statement appealed to the PMO to revise the prevailing business rules which lay down the areas of responsibility of each ministry. BPNI sought reassigning enforcement responsibilities of the IMS Act from women and child development ministry to the health ministry so that “those best equipped with medical expertise and a robust presence in healthcare service delivery” were at the forefront of protecting infant health. This realignment is not only critical to upholding the law that once championed India’s commitment to breastfeeding, but it is also essential for meeting our national health targets, including the early initiation of breastfeeding, which currently stands at a mere 41%, concluded the statement.",https://timesofindia.indiatimes.com/business/india-business/fssai-does-a-u-turn-on-its-role-in-monitoring-violations-of-baby-food-law/articleshow/120162084.cms,Unknown,2025-06-20 22:41:19
​Popular eating joints in India that have violated food safety and sanitation norms,"



Murthal’s iconic restaurant also faced the wrath of customers after the raids conducted to check for the food safety, sanitation and hygiene norms. The eateries were caught violating both food and hygiene norms. As power reports in popular digital daily, the Central Pollution Control Board (CPCB) found that the waste collection and sewage treatment around these eateries indicated violation and

There was a necessary infrastructure need in terms of collection and treatment of sewage and solid waste.",https://timesofindia.indiatimes.com/life-style/food-news/eateries-that-violated-food-safety-norms/photostory/110526775.cms,Unknown,2025-06-20 22:41:24
"FSSAI lodges 1,411 prosecution cases against food businesses since April, ET Retail","Food Services

1 min read

FSSAI lodges 1,411 prosecution cases against food businesses since April

The Food Safety and Standards Authority of India (FSSAI) has filed 1,411 prosecution cases against food business operators (FBOs) since April for violating food safety laws. The cases cover various violations, including operating without a license and selling unsafe food. FSSAI has been testing food products across categories to ensure compliance with safety standards. FBOs found in violation of the rules may face fines and legal action. FSSAI has advised FBOs to follow the prescribed standards and ensure safe practices in manufacturing. Non-compliance may result in strict action.",https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/fssai-lodges-1411-prosecution-cases-against-food-businesses-since-april/103677471,Unknown,2025-06-20 22:41:27
"FSSAI Complaints: FSSAI gets 21,042 consumer grievances against food delivery apps in last 5 fiscal years, ET BrandEquity","Advt

Join the community of 2M+ industry professionals. Subscribe to Newsletter to get latest insights & analysis in your inbox. All about ETBrandEquity industry right on your smartphone! Download the ETBrandEquity App and get the Realtime updates and Save your favourite articles.

More than 21,000 consumer grievances against online food delivery apps have been registered with the food regulator FSSAI in the last five fiscal years. In a written reply to the Rajya Sabha, Minister of State for Food and Consumer Affairs BL Verma said the ""FSSAI undertakes regular surveillance, monitoring, inspection and random sampling of food products from manufacturers/sellers, hotels and restaurant etc., sold online through e-commerce platforms, throughout the year"".The total number of consumer grievances registered with FSSAI against online food delivery apps stood at 21,042 in the last five fiscal years.As many as 7,482 grievances were registered with FSSAI in 2024-25 against 4,708 in 2023-24; 4,321 in 2022-23; 3,726 in 2021-22 and 805 in 2020-21.During 2023-24, FSSAI cancelled 502 licenses and suspended 316 licenses while imposing Rs 74.12 penalties.Food Safety and Standards Authority of India (FSSAI) has a robust mechanism for handling consumer complaints/concerns, the minister said.""The complaints of consumers received in FSSAI are mainly related with various food safety issues related to adulterated food, unsafe food, substandard food, labelling defects in food and misleading claims & advertisements etc. through various channels, such as Web portal and Mobile App, FSSAI Helpline, Twitter, Facebook and are directed into a single portal i.e. Food Safety Connect Portal , which is the part of the online Food Safety Compliance System (FoSCoS),"" Verma said.",https://brandequity.economictimes.indiatimes.com/news/marketing/fssai-gets-21042-consumer-grievances-against-food-delivery-apps-in-last-5-fiscal-years/119904367,Unknown,2025-06-20 22:41:29
Was your food stale? You can soon lodge a plaint on UP govt app,"



Noida: The food safety department rolled out an initiative allowing customers to directly submit their feedback on an app to improve food quality and flag safety violations.The grievance redressal and feedback mechanism was added as a feature in Food Safety Connect app, which was launched in Oct 2021 by Food Safety and Drug Administration and was being used by food business operators to register their establishments till now.""Earlier, the app did not have a grievance redressal mechanism. Now, the software will screen and filter complaints and send them to the officials concerned. Complaints will also be monitored at the state level for follow-ups,"" said Arvind Kumar Yadav, assistant commissioner (food), Ghaziabad.Moreover, as part of an initiative to improve food safety, restaurants and sweets shops will be required to prominently display customer feedback posters at their establishments. The poster will carry the name, address, email ID, mobile number, and the food registration or licence number of the establishment.Customers can use these details to submit their feedback or lodge complaints on Food Safety Connect app or call the toll-free number 1800-180-5533.Clarifying that the app was not a food review app, Sarvesh Mishra, assistant commissioner (food-2), Noida, said, ""This app is strictly for reporting food safety violations.It is not to review the outlets' services or food's taste.""""The data from the app will be integrated with that from existing grievance redressal mechanisms such as the FSSAI website, consumer forums, and complaints made on email,"" he added.Food operators are legally required to display their FSSAI licence prominently at their outlets. The licence numbers will now play a crucial role in identifying and acting on complaints. Currently, the food safety departments on an average receive around 10 complaints a month, officials said, adding that with introduction of the new feature in the app, authorities expect better reporting and compliance.",https://timesofindia.indiatimes.com/city/noida/was-your-food-stale-you-can-soon-lodge-a-plaint-on-up-govt-app/articleshow/120390813.cms,Unknown,2025-06-20 22:41:31
Restaurants and eateries fined for food safety violations in Mysuru,"A two-day campaign to check food safety violations in hotels and restaurants launched in the city by the Food Safety and Standards Department under the Ministry of Health and Family Welfare commenced on Friday, August 30, and by evening, lapses were found in at least 16 eateries and restaurants that were inspected.

The drive is being held to enforce the Food Safety and Standards Authority of India (FSSAI) Act 2006 and will cover as many eateries and hotels as possible within the Mysuru City Corporation (MCC) limits.

S.L. Ravindra, Designated Officer for Mysuru City, said the objective is to ensure and enforce hygiene and cleanliness at eateries and restaurants. Of the 22 hotels and street vendors that were inspected till late in the evening, 16 of them, all near the Mysuru Zoo, were found to be violating one aspect of the law or the other.

A majority of them were found to be operating without renewing their licenses which had expired while there were cases of ingredients past their shelf life or expiry date, being used for making tea etc., said Mr. Ravindra.

On finding violations and lapses, a fine of ₹33,000 was imposed though there were no cases that warranted cancellation of licenses due to lack of hygiene.

The team led by Mr. Ravindra comprised three food safety officers including Mr. Girish, Mr. Rajesh, and Ms. Dakshayani. After inspecting the eateries near the zoo, hotels on Nelson Mandela Road, Kalidasa Road, and Vijayanagar were checked for violations if any, of the food safety act and the provisions of FSSAI.

Apart from counselling the owners of eateries on how to resolve the violations and comply with the regulations, the inspecting team distributed handouts and literature highlighting various provisions of the law that need to be adhered to by the hotel and eatery owners. They were also apprised of the hefty fines that could be levied under different sections of the law.

But more than imposing fines, the objective was to reinforce the imperatives of complying with the FSSAI norms as it has a bearing on the public health, said Mr. Ravindra.",https://www.thehindu.com/news/national/karnataka/restaurants-and-eateries-fined-for-food-safety-violations-in-mysuru/article68585737.ece,2024-08-30,2025-06-20 22:41:33
"FSSAI lodges 1,411 prosecution cases against food businesses since April","Find this comment offensive?

Choose your reason below and click on the Report button. This will alert our moderators to take action

Name

Reason for reporting:

Foul language

Slanderous

Inciting hatred against a certain community",https://economictimes.indiatimes.com/industry/cons-products/food/fssai-lodges-1411-prosecution-cases-against-food-businesses-since-april/articleshow/103672964.cms,Unknown,2025-06-20 22:41:35
"FSSAI to launch quality check of food items like dairy products, spices, fortified rice, ET Retail","Advt

Advt

Join the community of 2M+ industry professionals. Subscribe to Newsletter to get latest insights & analysis in your inbox. All about ETRetail industry right on your smartphone! Download the ETRetail App and get the Realtime updates and Save your favourite articles.

After starting a probe into alleged violation of norms in branded spices , food regulator FSSAI plans to launch surveillance on other food items like fortified rice, dairy products and spices sold in the domestic market. According to sources, the Food Safety and Standards Authority of India (FSSAI) is planning surveillance on food items like fruit and vegetables, salmonella in fish products; spice and culinary herbs; fortified rice; and milk and milk products.FSSAI is already taking samples of spices in powder form of all brands, including MDH and Everest, from across the country in view of quality concerns flagged by Singapore and Hong Kong.""In view of the current development, FSSAI is taking samples of spices of all brands, including MDH and Everest, from the market to check whether they meet the FSSAI norms,"" a source had said on April 22.FSSAI does not regulate the quality of exported spices, sources said.Early last month, Hong Kong's Center for Food Safety (CFS) asked consumers not to buy and traders not to sell MDH's Madras Curry Powder (spice blend for Madras curry), Everest Fish Curry Masala, MDH Sambhar Masala Mixed Masala Powder, and MDH Curry Powder Mixed Masala Powder.The CFS had said that samples of several kinds of pre-packaged spice-mix products of two Indian brands were found to contain a pesticide ethylene oxide. Singapore Food Agency also directed a recall of such spices. After Hong Kong's directive, the Singapore Food Agency (SFA) also ordered a recall of imported 'Everest Fish Curry Masala' from India.Last week, FSSAI said it was in the process of collecting pan-India samples of Nestle's Cerelac baby cereals, amid a global report claiming that the company was adding higher sugar content to the product.According to sources, FSSAI carries out various pan-India surveillance on various food products to assess the compliance status of implemented regulations.The number of samples analysed during the past few years has grown substantially from 1,07,829 in 2020-21 to more than 4,51,000 in 2023-24, registering an increase of more than 3 times.In 2020-21, 1,07,829 samples were analysed and 28,347 samples were found non-conforming. In 2021-22, 1,44,345 samples were analysed and 32,934 were found non-conforming.During 2022-23, 1,77,511 samples were analysed and 44,626 found non-conforming. Last fiscal, 4,51,296 samples were analysed.There has been an increase in cases launched and convictions showing the efforts made by the concerned food safety authorities towards enforcement of the FSS Act 2006.FSSAI undertakes regulatory testing and monitoring/surveillance of various food products through a chain of food testing laboratories operating in both government and private sectors.The laboratories are notified as primary and referral laboratories. Presently, 239 primary food testing laboratories, 22 referral laboratories and 12 reference laboratories are operating in the country.As per the FSSAI Act, samples analysed as Sub-standard and Misbranded are penalised under Sections 50 to 54 of the FSS Act, 2006 where the maximum penalty can be levied up to Rs 5 lakhs for sub-standard food, up to Rs 3 lakhs for Misbranded food and up to Rs 10 lakhs for misleading advertisements.In case samples are analysed as unsafe will lead to the food businesses being prosecuted under Section 59 of the FSS Act 2006, where a three-month jail term with a penalty of up to Rs 3 lakhs can be levied, where failure does not result in injury.Whereas in case of injuries caused due to consumption of unsafe food under section 59, from 59(ii) to sec 59 (iv), there is punishment with imprisonment from one year to six years, accompanied with a fine that may range from 3 lakhs to 5 lakhs, as applicable weighing the gravity of the injury.Further, where such failure or contravention results in death, the defaulter food business operators (FBOs) could be convicted with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life and also with a fine, which shall not be less than Rs 10 lakh.",https://retail.economictimes.indiatimes.com/news/food-entertainment/personal-care-pet-supplies-liquor/fssai-to-launch-quality-check-of-food-items-like-dairy-products-spices-fortified-rice/109789438,Unknown,2025-06-20 22:41:37
FSSAI crackdown on unhygienic eateries,"Food Safety

FSSAI

hygiene violations

food safety standards

Theand Standards Authority of India () conducted a two-day statewide raid on March 12 and 13, uncovering severein multiple hotels. Out of 479 inspected establishments, 174 were served notices, and fines totalling `62,000 were imposed for failing to meet. Officials also collected food samples for laboratory testing, with results awaited. Bengaluru topped the list with 69 violations, particularly near bus and railway stations, followed by Haveri (58), Koppal (48), Mysuru (38), Belagavi (35), Bagalkot (34), and Hassan (24), where fair and festival stalls came under scrutiny.During inspections, officials discovered rats and cockroaches in food preparation areas, poor pest control measures, and unhygienic kitchen conditions. Many hotels were caught using adulterated ingredients, improper food storage methods, and selling uncovered food. Alarmingly, over 20% of food items in Karnataka are suspected to be adulterated, according to food safety expert Dr Sanjeev Kulkarni. The FSSAI has urged consumers to report hygiene violations through its helpline 1800112100 or foscos@fssai.gov.in to help curb unsafe food practices.",https://bangaloremirror.indiatimes.com/bangalore/civic/fssai-crackdown-on-unhygienic-eateries/articleshow/119728503.cms,Unknown,2025-06-20 22:41:40
